edge_id,from_node_id,to_node_id,road_name,road_type,direction,distance_m,distance_derivation,free_flow_speed_kph,free_flow_time_min,speed_derivation,congestion_level_1_5,flood_risk_0_1,flood_observation_status,source_id,source_segment_id,data_status
UTR_EDGE_79313,UTR_NODE_5758041297,UTR_NODE_2947068442,Kha Vạn Cân,tertiary,SOURCE_DIRECTED,24.000,SOURCE_LENGTH,30.000,0.048000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79313,DERIVED
UTR_EDGE_79658,UTR_NODE_5762626728,UTR_NODE_366457825,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,33.000,SOURCE_LENGTH,30.000,0.066000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79658,DERIVED
UTR_EDGE_79659,UTR_NODE_366457825,UTR_NODE_5762626728,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,33.000,SOURCE_LENGTH,30.000,0.066000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79659,DERIVED
UTR_EDGE_79660,UTR_NODE_366457825,UTR_NODE_3726336266,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,21.000,SOURCE_LENGTH,30.000,0.042000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79660,DERIVED
UTR_EDGE_79661,UTR_NODE_3726336266,UTR_NODE_366457825,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,21.000,SOURCE_LENGTH,30.000,0.042000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79661,DERIVED
UTR_EDGE_79662,UTR_NODE_3726336266,UTR_NODE_5627052459,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,4.000,SOURCE_LENGTH,30.000,0.008000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79662,DERIVED
UTR_EDGE_79663,UTR_NODE_5627052459,UTR_NODE_3726336266,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,4.000,SOURCE_LENGTH,30.000,0.008000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79663,DERIVED
UTR_EDGE_79664,UTR_NODE_5627052459,UTR_NODE_3102552858,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,9.000,SOURCE_LENGTH,30.000,0.018000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79664,DERIVED
UTR_EDGE_79665,UTR_NODE_3102552858,UTR_NODE_5627052459,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,9.000,SOURCE_LENGTH,30.000,0.018000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79665,DERIVED
UTR_EDGE_79666,UTR_NODE_3102552858,UTR_NODE_3726336262,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,20.000,SOURCE_LENGTH,30.000,0.040000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79666,DERIVED
UTR_EDGE_79667,UTR_NODE_3726336262,UTR_NODE_3102552858,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,20.000,SOURCE_LENGTH,30.000,0.040000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79667,DERIVED
UTR_EDGE_79668,UTR_NODE_3726336262,UTR_NODE_5753041861,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,36.000,SOURCE_LENGTH,30.000,0.072000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79668,DERIVED
UTR_EDGE_79669,UTR_NODE_5753041861,UTR_NODE_3726336262,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,36.000,SOURCE_LENGTH,30.000,0.072000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79669,DERIVED
UTR_EDGE_79670,UTR_NODE_5753041861,UTR_NODE_366418937,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,35.000,SOURCE_LENGTH,30.000,0.070000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79670,DERIVED
UTR_EDGE_79671,UTR_NODE_366418937,UTR_NODE_5753041861,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,35.000,SOURCE_LENGTH,30.000,0.070000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79671,DERIVED
UTR_EDGE_79672,UTR_NODE_366418937,UTR_NODE_3537353347,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,60.000,SOURCE_LENGTH,30.000,0.120000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79672,DERIVED
UTR_EDGE_79673,UTR_NODE_3537353347,UTR_NODE_366418937,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,60.000,SOURCE_LENGTH,30.000,0.120000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79673,DERIVED
UTR_EDGE_79674,UTR_NODE_3537353347,UTR_NODE_366435022,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,14.000,SOURCE_LENGTH,30.000,0.028000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79674,DERIVED
UTR_EDGE_79675,UTR_NODE_366435022,UTR_NODE_3537353347,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,14.000,SOURCE_LENGTH,30.000,0.028000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79675,DERIVED
UTR_EDGE_79676,UTR_NODE_366435022,UTR_NODE_3726293943,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,42.000,SOURCE_LENGTH,30.000,0.084000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79676,DERIVED
UTR_EDGE_79677,UTR_NODE_3726293943,UTR_NODE_366435022,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,42.000,SOURCE_LENGTH,30.000,0.084000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79677,DERIVED
UTR_EDGE_79678,UTR_NODE_3726293943,UTR_NODE_5753041853,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,8.000,SOURCE_LENGTH,30.000,0.016000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79678,DERIVED
UTR_EDGE_79679,UTR_NODE_5753041853,UTR_NODE_3726293943,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,8.000,SOURCE_LENGTH,30.000,0.016000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79679,DERIVED
UTR_EDGE_79680,UTR_NODE_5753041853,UTR_NODE_366422683,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,22.000,SOURCE_LENGTH,30.000,0.044000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79680,DERIVED
UTR_EDGE_79681,UTR_NODE_366422683,UTR_NODE_5753041853,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,22.000,SOURCE_LENGTH,30.000,0.044000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,79681,DERIVED
UTR_EDGE_80350,UTR_NODE_370523230,UTR_NODE_366439444,Lê Văn Chí,tertiary,SOURCE_DIRECTED,16.000,SOURCE_LENGTH,30.000,0.032000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,80350,DERIVED
